technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condB_rep1,condB_rep2
RLE_PEAKS,229,27,8342,1271,0.10546875,9868,1500,0.9993333333333333,0.9861,7.093635995135793e-4,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.838536246286626,1.0828229836267724,0.8255027889556454,1.3847623071259372
LIB_BINS,110,7,8362,1390,0.05982905982905983,9868,1500,0.9993333333333333,0.9861,7.093635995135793e-4,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9732360628419604,1.003606347123742,0.9775765009092069,1.0455810891250907
TMM_BINS,117,8,8361,1383,0.064,9868,1500,0.9993333333333333,0.9861,7.093635995135793e-4,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9734882175762617,1.0051382126759985,0.9772396762207048,1.0440769090637787
RLE_BINS,118,8,8361,1382,0.06349206349206349,9868,1500,0.9993333333333333,0.9861,7.093635995135793e-4,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9754138181678788,1.0061912813009062,0.9783571060819961,1.0450068849098106
DBA_NORM_OFFSETS_ADJUST,189,25,8344,1311,0.11682242990654206,9868,1500,0.9993333333333333,0.9861,7.093635995135793e-4,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,1,0,8369,1499,0,9868,1500,0.9993333333333333,0.9861,7.093635995135793e-4,1,0.15000000000000002,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
Oracle,458,36,7891,1542,0.0728744939271255,9925,2000,0.999,0.9921,4.0302267002518893e-4,1,0.2,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9275989111634084,1.2059797242683543,0.9969476762877324,0.8966591779600854
LIB_PEAKS,232,48,7879,1768,0.17142857142857143,9925,2000,0.999,0.9921,4.0302267002518893e-4,1,0.2,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8727019630330713,1.105924450980185,1.0573171498763376,0.9640564361104058
TMM_PEAKS,331,43,7884,1669,0.11497326203208556,9925,2000,0.999,0.9921,4.0302267002518893e-4,1,0.2,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.8937830010284309,1.1310082730248185,1.0327201730357396,0.9423638441135372
RLE_PEAKS,325,36,7891,1675,0.0997229916897507,9925,2000,0.999,0.9921,4.0302267002518893e-4,1,0.2,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9031137419685782,1.1476951815506333,1.050251514819048,0.9551288084418535
LIB_BINS,183,19,7908,1817,0.09405940594059406,9925,2000,0.999,0.9921,4.0302267002518893e-4,1,0.2,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9825633995144523,1.0148446141181404,1.0055485893957608,0.9970433969716465
TMM_BINS,189,19,7908,1811,0.09134615384615384,9925,2000,0.999,0.9921,4.0302267002518893e-4,1,0.2,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9846170796788684,1.0157160097041464,1.004249132949041,0.9953965435226262
RLE_BINS,189,19,7908,1811,0.09134615384615384,9925,2000,0.999,0.9921,4.0302267002518893e-4,1,0.2,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9856887226834902,1.0157979451643502,1.0049390471593267,0.9972097478376953
DBA_NORM_OFFSETS_ADJUST,202,46,7881,1798,0.18548387096774194,9925,2000,0.999,0.9921,4.0302267002518893e-4,1,0.2,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,0,0,7927,2000,NA,9925,2000,0.999,0.9921,4.0302267002518893e-4,1,0.2,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
Oracle,686,39,7362,1814,0.05379310344827586,9897,2500,0.9984,0.9884,0.0013135293523289886,1,0.25,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.3317332648620344,1.2856787807324344,0.734940697285526,0.7946904220566766
LIB_PEAKS,305,38,7363,2195,0.11078717201166181,9897,2500,0.9984,0.9884,0.0013135293523289886,1,0.25,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.1847066429502826,1.1457430153140034,0.8056751867094374,0.8638751550262765
TMM_PEAKS,354,32,7369,2146,0.08290155440414508,9897,2500,0.9984,0.9884,0.0013135293523289886,1,0.25,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.2122488433898602,1.1689651958326577,0.7879727740715763,0.8460663898428551
RLE_PEAKS,353,33,7368,2147,0.08549222797927461,9897,2500,0.9984,0.9884,0.0013135293523289886,1,0.25,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.2391930930016808,1.196636138681649,0.8097001456011677,0.8642760201113054
LIB_BINS,218,299,7102,2282,0.5783365570599613,9897,2500,0.9984,0.9884,0.0013135293523289886,1,0.25,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.021635392563909,1.0171528131052594,0.978509954788882,0.9827018395419496
TMM_BINS,217,295,7106,2283,0.576171875,9897,2500,0.9984,0.9884,0.0013135293523289886,1,0.25,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0216420086965652,1.0181926699322477,0.9777621384263951,0.9824426931467954
RLE_BINS,218,295,7106,2282,0.5750487329434698,9897,2500,0.9984,0.9884,0.0013135293523289886,1,0.25,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,1.0221440661730512,1.019501010828678,0.9796066116398503,0.9831518609677957
DBA_NORM_OFFSETS_ADJUST,328,34,7367,2172,0.09392265193370165,9897,2500,0.9984,0.9884,0.0013135293523289886,1,0.25,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,172,26,7375,2328,0.13131313131313133,9897,2500,0.9984,0.9884,0.0013135293523289886,1,0.25,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
Oracle,749,38,6898,2251,0.048284625158831,9934,3000,0.9993333333333333,0.9924,0.0010066438494060802,1,0.3,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.785902277792087,1.3524277387893515,0.8467705920810757,1.1110960815708546
LIB_PEAKS,336,58,6878,2664,0.14720812182741116,9934,3000,0.9993333333333333,0.9924,0.0010066438494060802,1,0.3,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7176064213999271,1.1782265152294134,0.9261047307004037,1.1780623326702557
TMM_PEAKS,400,51,6885,2600,0.1130820399113082,9934,3000,0.9993333333333333,0.9924,0.0010066438494060802,1,0.3,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7351211397973664,1.2063436581240696,0.9039781782327388,1.1506826818921698
RLE_PEAKS,371,49,6887,2629,0.11666666666666667,9934,3000,0.9993333333333333,0.9924,0.0010066438494060802,1,0.3,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.7560158243409815,1.2362159930496384,0.9336863845912565,1.18652326431273
LIB_BINS,131,1,6935,2869,0.007575757575757576,9934,3000,0.9993333333333333,0.9924,0.0010066438494060802,1,0.3,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9616488136716432,1.023560991032076,0.9891410893510681,1.0256491059452126
TMM_BINS,134,1,6935,2866,0.007407407407407408,9934,3000,0.9993333333333333,0.9924,0.0010066438494060802,1,0.3,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9632791752673334,1.0240254848865105,0.9887118084950036,1.023893102582578
RLE_BINS,132,1,6935,2868,0.007518796992481203,9934,3000,0.9993333333333333,0.9924,0.0010066438494060802,1,0.3,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9647477942475153,1.025159352285596,0.9904908848267,1.026016566674306
DBA_NORM_OFFSETS_ADJUST,287,54,6882,2713,0.15835777126099707,9934,3000,0.9993333333333333,0.9924,0.0010066438494060802,1,0.3,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,1,0,6936,2999,0,9934,3000,0.9993333333333333,0.9924,0.0010066438494060802,1,0.3,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
Oracle,931,35,6345,2569,0.036231884057971016,9873,3500,0.998,0.9864,9.115770282588879e-4,1,0.35000000000000003,FALSE,TRUE,FALSE,TRUE,0.75,FALSE,0.05,0.9725163233768812,1.15719363567973,1.1687010264088111,0.760315139900794
