technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condB_rep1,condB_rep2,condB_rep3
TMM_PEAKS,653,81,8173,847,0.11035422343324251,9748,1500,0.996,0.9748,0,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,0.925296145280512,1.0673758694149198,1.0213920123008016,1.0003080799897743,1.0031453898328055,0.9820714692226618
RLE_PEAKS,651,79,8175,849,0.10821917808219178,9748,1500,0.996,0.9748,0,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,0.9370006165876174,1.0776310508081883,1.036501407757341,1.0146470958171896,1.0184635578866086,0.9957964647012105
LIB_BINS,552,183,8071,948,0.24897959183673468,9748,1500,0.996,0.9748,0,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0723173958835566,1.0892496166327894,1.081345570929489,0.9193451613196788,0.9190728690085668,0.9186693862259195
TMM_BINS,552,182,8072,948,0.24795640326975477,9748,1500,0.996,0.9748,0,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.072058022660094,1.0887044622414999,1.0823519576216376,0.9192810245688533,0.9184133005880718,0.919220701364635
RLE_BINS,553,183,8071,947,0.24864130434782608,9748,1500,0.996,0.9748,0,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,1.0784671899894143,1.094278518923053,1.0874477756523078,0.9238554795398334,0.9207938286417114,0.92215499381383
DBA_NORM_OFFSETS_ADJUST,651,85,8169,849,0.11548913043478261,9748,1500,0.996,0.9748,0,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,NA,NA,NA,NA,NA,NA
MAnorm2,175,4,8250,1325,0.0223463687150838,9748,1500,0.996,0.9748,0,1,0.15000000000000002,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,NA,NA,NA,NA,NA,NA
Oracle,966,63,7649,1034,0.061224489795918366,9698,2000,0.993,0.9698,0,1,0.2,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,0.7497966056453905,1.095210906069772,1.1272808692658802,0.8760828528942622,0.9993366349927396,1.2338706803848398
LIB_PEAKS,976,61,7651,1024,0.058823529411764705,9698,2000,0.993,0.9698,0,1,0.2,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,0.7728405636664482,1.0813979431154157,1.1146912894726864,0.8675882385967306,0.9756853513920436,1.187796613756676
TMM_PEAKS,980,60,7652,1020,0.057692307692307696,9698,2000,0.993,0.9698,0,1,0.2,TRUE,FALSE,TRUE,TRUE,0.75,A,0.05,0.774357840951121,1.0819523508293567,1.113721371243625,0.8682812122811633,0.9762299448821801,1.1842861792517705
