technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condB_rep1,condB_rep2
RLE_PEAKS,441,37,8401,1059,0.07740585774058577,9938,1500,1,0.993,8.049909438518816e-4,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.8368649357532231,0.9017705775997922,1.058256739542208,1.3049085638765197
LIB_BINS,779,136,8302,721,0.14863387978142076,9938,1500,1,0.993,8.049909438518816e-4,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.97983594375979155,0.9883131056075618,0.9996333082596037,1.032217642373043
TMM_BINS,779,121,8317,721,0.13444444444444445,9938,1500,1,0.993,8.049909438518816e-4,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9777089461808052,0.9844273092815882,1.0025295719047365,1.0355462095128019
RLE_BINS,779,122,8316,721,0.13540510543840178,9938,1500,1,0.993,8.049909438518816e-4,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9793450932631651,0.9854953252157623,1.0025069256005046,1.036113432609358
DBA_NORM_OFFSETS_ADJUST,449,36,8402,1051,0.07422680412371134,9938,1500,1,0.993,8.049909438518816e-4,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
MAnorm2,217,7,8431,1283,0.03125,9938,1500,1,0.993,8.049909438518816e-4,1,0.15000000000000002,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA
Oracle,709,40,7884,1291,0.0534045393858478,9923,2000,0.9995,0.9919,4.031039000302328e-4,1,0.2,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0498264759320453,0.934064324298058,1.2019873400313883,0.848410042218327
LIB_PEAKS,705,41,7883,1295,0.054959785522788206,9923,2000,0.9995,0.9919,4.031039000302328e-4,1,0.2,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0347956909659928,0.9287641696903385,1.181629484219249,0.8548106551244198
TMM_PEAKS,497,40,7884,1503,0.074487895716946,9923,2000,0.9995,0.9919,4.031039000302328e-4,1,0.2,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9898497832520824,0.8905731504434433,1.2314173319264818,0.8942669043520036
RLE_PEAKS,495,40,7884,1505,0.07476635514018691,9923,2000,0.9995,0.9919,4.031039000302328e-4,1,0.2,FALSE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0063957036699172,0.9050643763989942,1.2521894786017536,0.9072305496985464
