technique,true_positives,false_positives,true_negatives,false_negatives,FDR,n_consensus_peaks,n_true_do,peak_call_tpr_do,peak_call_tpr,peak_call_fdp,it,prop.do,symmetry,constant.background,equal.DNA.bind,equal.lib.size,prop.consensus,more.background.cond,FDR.threshold,condA_rep1,condA_rep2,condA_rep3,condB_rep1,condB_rep2,condB_rep3
TMM_PEAKS,708,68,8285,792,0.08762886597938144,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1345432569211393,1.000025780888348,0.8842616156067171,0.9497839988788418,1.0061638793990708,1.0262477915350754
RLE_PEAKS,702,68,8285,798,0.08831168831168831,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1516457413680354,1.0193722948884452,0.898656717508125,0.9686411149930602,1.025173753554788,1.041715993811505
LIB_BINS,682,52,8301,818,0.07084468664850137,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0171947957930403,0.9999009909243438,0.9879924231204412,0.9929166502063392,1.0004794279733358,1.0015157119825002
TMM_BINS,682,52,8301,818,0.07084468664850137,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0171769016186123,1.001014834802223,0.988191574220324,0.991613602638908,0.9994480130482312,1.00256521315076
RLE_BINS,682,52,8301,818,0.07084468664850137,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0181019911694238,1.0018210415152338,0.9886873076939643,0.9942216035490309,1.0021832864038758,1.0022050977861843
DBA_NORM_OFFSETS_ADJUST,710,68,8285,790,0.08740359897172237,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
MAnorm2,217,15,8338,1283,0.06465517241379311,9847,1500,0.996,0.9847,0,1,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
Oracle,1010,79,7778,990,0.07254361799816346,9852,2000,0.9975,0.9852,0,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.151164291704133,1.0211015282370846,1.2337464492763464,0.9986122144615958,0.8070249533765609,0.855626075165765
LIB_PEAKS,976,85,7772,1024,0.08011310084825636,9852,2000,0.9975,0.9852,0,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1313489133283605,1.0112572590622766,1.1992609531432412,0.9954781242764724,0.81044480344704,0.8522099467426089
TMM_PEAKS,979,86,7771,1021,0.08075117370892018,9852,2000,0.9975,0.9852,0,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1333202987315036,1.0108851179766858,1.1946870255984217,0.9932366390920683,0.8101752131935266,0.8565118383175602
RLE_PEAKS,980,82,7775,1020,0.07721280602636535,9852,2000,0.9975,0.9852,0,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.1617874328432605,1.0342428294139874,1.2239471315281667,1.0202438559164755,0.829510339222252,0.8765190708032453
LIB_BINS,859,223,7634,1141,0.20609981515711645,9852,2000,0.9975,0.9852,0,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0161129262614208,1.0010024846907832,1.0269845244849647,0.9988918670396963,0.9743073190773385,0.9827008784457966
TMM_BINS,863,223,7634,1137,0.20534069981583794,9852,2000,0.9975,0.9852,0,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.015295453949751,1.0003844769731678,1.0263233339981166,0.999748058005174,0.9733013052766858,0.9849072939559003
RLE_BINS,847,227,7630,1153,0.21135940409683426,9852,2000,0.9975,0.9852,0,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0166728484826328,1.0031392749291215,1.0292300738803715,1.0000918722469083,0.9765415532194478,0.9860479960556626
DBA_NORM_OFFSETS_ADJUST,988,78,7779,1012,0.07317073170731707,9852,2000,0.9975,0.9852,0,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
MAnorm2,336,17,7840,1664,0.04815864022662889,9852,2000,0.9975,0.9852,0,1,0.2,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
Oracle,1264,112,7274,1236,0.08139534883720931,9879,2500,0.9972,0.9879,0,1,0.25,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9423276084728016,1.0146087887606141,1.1950255237339715,0.9178121472781092,0.8340127232086527,1.1433937295908778
LIB_PEAKS,1295,104,7282,1205,0.07433881343817011,9879,2500,0.9972,0.9879,0,1,0.25,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9375053892234345,1.0050498003439696,1.1711601685043591,0.9228310237408031,0.8434702993037515,1.119983318883682
TMM_PEAKS,1284,104,7282,1216,0.07492795389048991,9879,2500,0.9972,0.9879,0,1,0.25,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9396132439130721,1.0065967347862383,1.1680191857583506,0.9251619884600353,0.8379788990480587,1.1232481087389374
RLE_PEAKS,1285,104,7282,1215,0.07487401007919367,9879,2500,0.9972,0.9879,0,1,0.25,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9530318688562002,1.026584105246332,1.1876632516722185,0.9410771514115449,0.858180925421094,1.145119700939421
LIB_BINS,1132,75,7311,1368,0.06213753106876554,9879,2500,0.9972,0.9879,0,1,0.25,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9923958844939325,1.0012810412011204,1.0222765026246752,0.9887904288932923,0.9791256513203859,1.0161304914665938
TMM_BINS,1132,75,7311,1368,0.06213753106876554,9879,2500,0.9972,0.9879,0,1,0.25,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9921525968091356,0.9996713842906112,1.020554919752489,0.9903030148402876,0.9802913035758847,1.0169652810039544
RLE_BINS,1130,75,7311,1370,0.06224066390041494,9879,2500,0.9972,0.9879,0,1,0.25,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,0.9936580938516923,1.0025949160983407,1.0210020405580589,0.9918722716908939,0.981654506927571,1.0179369999254473
DBA_NORM_OFFSETS_ADJUST,1265,110,7276,1235,0.08,9879,2500,0.9972,0.9879,0,1,0.25,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
MAnorm2,319,10,7376,2181,0.030395136778115502,9879,2500,0.9972,0.9879,0,1,0.25,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,NA,NA,NA,NA,NA,NA
Oracle,1690,83,6816,1310,0.046813310772701636,9896,3000,0.999,0.9896,0,1,0.3,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0419003757234024,1.1631195554106806,0.9042852256014596,0.8859924310461935,0.9716649272671029,1.0599795188462626
LIB_PEAKS,1693,92,6807,1307,0.0515406162464986,9896,3000,0.999,0.9896,0,1,0.3,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0306838764622206,1.1435421610162955,0.9126817843797346,0.8874255968452137,0.9701245683922747,1.055542012904261
TMM_PEAKS,1690,90,6809,1310,0.05056179775280899,9896,3000,0.999,0.9896,0,1,0.3,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0320097860188253,1.1420090301064019,0.9093617580982503,0.8900344056329603,0.9707803427303403,1.055636056018266
RLE_PEAKS,1698,85,6814,1302,0.04767246214245653,9896,3000,0.999,0.9896,0,1,0.3,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0472741858196362,1.1577388026959494,0.9298837243282048,0.9044687482072805,0.985148107876347,1.0748677536291982
LIB_BINS,1530,79,6820,1470,0.049098819142324425,9896,3000,0.999,0.9896,0,1,0.3,TRUE,TRUE,TRUE,TRUE,0.75,FALSE,0.05,1.0043242146641538,1.0192740320557951,0.9887307788372921,0.9835998170870445,0.9958627982645897,1.0082083590911248
